ADM1_EN,ADM1_PCODE,pepfar,county_name
Baringo,KE030,Yes,Baringo
Bomet,KE036,Yes,Bomet
Bungoma,KE039,Yes,Bungoma
Busia,KE040,Yes,Busia
Busia,KE040,Yes,Busia
Elgeyo-Marakwet,KE028,Yes,Elgeyo-Marakwet
Embu,KE014,Yes,Embu
Garissa,KE007,Yes,Garissa
Garissa,KE007,Yes,Garissa
Homa Bay,KE043,Yes,Homa Bay
Isiolo,KE011,Yes,Isiolo
Kajiado,KE034,Yes,Kajiado
Kakamega,KE037,Yes,Kakamega
Kericho,KE035,Yes,Kericho
Kiambu,KE022,Yes,Kiambu
Kilifi,KE003,Yes,Kilifi
Kirinyaga,KE020,Yes,Kirinyaga
Kisii,KE045,Yes,Kisii
Kisumu,KE042,Yes,Kisumu
Kitui,KE015,Yes,Kitui
Kwale,KE002,Yes,Kwale
Laikipia,KE031,Yes,Laikipia
Lamu,KE005,Yes,Lamu
Machakos,KE016,Yes,Machakos
Makueni,KE017,Yes,Makueni
Mandera,KE009,Yes,Mandera
Marsabit,KE010,Yes,Marsabit
Marsabit,KE010,Yes,Marsabit
Meru,KE012,Yes,Meru
Migori,KE044,Yes,Migori
Mombasa,KE001,Yes,Mombasa
Mombasa,KE001,Yes,Mombasa
Mombasa,KE001,Yes,Mombasa
Murang'a,KE021,Yes,Murang'a
Nairobi,KE047,Yes,Nairobi
Nairobi,KE047,Yes,Nairobi
Nairobi,KE047,Yes,Nairobi
Nairobi,KE047,Yes,Nairobi
Nairobi,KE047,Yes,Nairobi
Nairobi,KE047,Yes,Nairobi
Nairobi,KE047,Yes,Nairobi
Nakuru,KE032,Yes,Nakuru
Nakuru,KE032,Yes,Nakuru
Nakuru,KE032,Yes,Nakuru
Nakuru,KE032,Yes,Nakuru
Nandi,KE029,Yes,Nandi
Narok,KE033,Yes,Narok
Nyamira,KE046,Yes,Nyamira
Nyandarua,KE018,Yes,Nyandarua
Nyandarua,KE018,Yes,Nyandarua
Nyandarua,KE018,Yes,Nyandarua
Nyeri,KE019,Yes,Nyeri
Samburu,KE025,Yes,Samburu
Siaya,KE041,Yes,Siaya
Siaya,KE041,Yes,Siaya
Siaya,KE041,Yes,Siaya
Taita Taveta,KE006,Yes,Taita Taveta
Tana River,KE004,Yes,Tana River
Tharaka,KE013,Yes,Tharaka
Trans Nzoia,KE026,Yes,Trans Nzoia
Turkana,KE023,Yes,Turkana
Uasin Gishu,KE027,Yes,Uasin Gishu
Vihiga,KE038,Yes,Vihiga
Wajir,KE008,Yes,Wajir
West Pokot,KE024,Yes,West Pokot
